Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Thu, 22 Mar 1906", ,F['ENG'],8-35,2:9,0-5,"Parc des Princes, Paris", 
"Sat, 17 Nov 1906",TO, , v SAF,6-0,2:0,4-0,"Hampden Park, Glasgow", 
"Sat, 24 Nov 1906",TO, ,IRE v ,12-15,3:4,1-5,"Ravenhill, Belfast", 
"Sat, 01 Dec 1906",TO, ,WAL v ,0-11,0:3,0-4,Swansea, 
"Sat, 08 Dec 1906",TO, ,ENG v SAF,3-3,1:1,2-2,Crystal Palace, 
"Sun, 05 Jan 1907", ,[ v FRA,41-13,9:2,5-0,Richmond, 
"Sun, 12 Jan 1907",5N, , v ENG,22-0,6:0,5-0,Swansea, 
"Sat, 02 Feb 1907",5N, , v WAL,6-3,2:0,4-1,Inverleith, 
"Sat, 09 Feb 1907",5N, , v ENG,17-9,4:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 23 Feb 1907",5N, , v IRE,15-3,3:0,4-0,Inverleith, 
"Sat, 09 Mar 1907",5N, , v IRE,29-0,6:0,5-0,Cardiff Arms Park, 
"Sat, 16 Mar 1907","5N,CA", ,ENG v ,3-8,1:2,1-4,"Rectory Ground, Blackheath", 
"Sat, 20 Jul 1907",TO, ,AUS v ,6-26,0:6,0-5,"Cricket Ground, Sydney", 
"Sat, 03 Aug 1907",TO, ,AUS v ,5-14,1:4,0-5,"Woolloongabba, Brisbane", 
"Sat, 10 Aug 1907",TO, ,AUS v NZL,5-5,1:1,2-2,"Cricket Ground, Sydney", 
"Thu, 01 Jan 1908", ,F['ENG'],0-19,0:5,0-5,"Stade Colombes, Paris", 
"Sun, 18 Jan 1908",5N, ,ENG v ,18-28,4:5,1-5,"Ashton Gate, Bristol", 
"Sat, 01 Feb 1908",5N, , v SCO,6-5,2:1,4-1,Swansea, 
"Sat, 08 Feb 1908",5N, , v IRE,13-3,3:0,4-0,Richmond, 
"Sat, 29 Feb 1908",5N, , v SCO,16-11,4:2,5-1,"Lansdowne Rd, Dublin", 
"Mon, 02 Mar 1908", ,[ v FRA,36-4,9:0,5-0,Cardiff Arms Park, 
"Sat, 14 Mar 1908",5N, ,IRE v ,5-11,1:3,0-4,"Balmoral Showground, Belfast", 
"Sat, 21 Mar 1908","5N,CA", , v ENG,16-10,2:2,4-0,Inverleith, 
"Sat, 06 Jun 1908",LT,1 , v LIO,32-5,7:1,5-0,"Carisbrook, Dunedin", 
"Sat, 27 Jun 1908",LT,2 ,NZL v LIO,3-3,0:1,2-2,"Athletic Park, Wellington", 
