Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut. 
"Sat, 06 Dec 1975",TO, , v AUS,10-3,2:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 20 Dec 1975",TO, , v AUS,28-3,4:0,5-0,Cardiff Arms Park, 
"Sat, 03 Jan 1976",TO, , v AUS,23-6,3:0,4-0,"Twickenham, London", 
"Sat, 10 Jan 1976",5N, ,SCO v ,6-13,0:1,0-4,"Murrayfield, Edinburgh", 
"Sat, 17 Jan 1976",TO, ,IRE v ,10-20,1:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 17 Jan 1976",5N, ,ENG v ,9-21,0:3,0-4,"Twickenham, London", 
"Sat, 31 Jan 1976",TO, ,USA v ,12-24,0:3,0-4,Los Angeles, 
"Sat, 07 Feb 1976",5N, , v SCO,28-6,3:1,4-0,Cardiff Arms Park, 
"Sat, 07 Feb 1976",5N, , v IRE,26-3,4:0,5-0,"Parc des Princes, Paris", 
"Sat, 21 Feb 1976","5N,CA", , v ENG,22-12,3:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 21 Feb 1976",5N, ,IRE v ,9-34,0:4,0-5,"Lansdowne Rd, Dublin", 
"Sat, 06 Mar 1976",5N, , v FRA,19-13,1:2,4-1,Cardiff Arms Park, 
"Sat, 06 Mar 1976",5N, ,ENG v ,12-13,0:1,1-4,"Twickenham, London", 
"Sat, 20 Mar 1976",5N, ,IRE v ,6-15,0:0,0-4,"Lansdowne Rd, Dublin", 
"Sat, 20 Mar 1976",5N, , v ENG,30-9,6:1,5-0,"Parc des Princes, Paris", 
"Sat, 05 Jun 1976",ST, , v IRE,11-3,2:0,4-0,"Athletic Park, Wellington", 
"Sat, 12 Jun 1976",TO, , v FIJ,22-6,4:1,5-0,"Cricket Ground, Sydney", 
"Sat, 12 Jun 1976",TO, ,USA v ,14-33,2:3,0-4,Chicago, 
"Sat, 19 Jun 1976",TO, , v FIJ,21-9,2:0,4-0,"Ballymore, Brisbane", 
"Sat, 26 Jun 1976",TO, , v FIJ,27-17,3:3,4-0,"Cricket Ground, Sydney", 
"Sat, 24 Jul 1976",TO,1 , v NZL,16-7,2:1,4-0,"Kings Park Stadium, Durban", 
"Sat, 14 Aug 1976",TO,2 ,SAF v ,9-15,0:1,1-4,"Vodacom Park, Bloemfontein", 
"Sat, 04 Sep 1976",TO,3 , v NZL,15-10,1:1,4-1,"Newlands, Cape Town", 
"Sat, 18 Sep 1976",TO,4 , v NZL,15-14,1:2,4-1,"Ellis Park, Johannesburg", 
"Thu, 21 Oct 1976",AI, , v JAP,25-3,5:0,5-0,Padua, 
"Sun, 24 Oct 1976",TO, , v AUS,18-15,3:0,4-1,"Stade Municipal, Bordeaux", 
"Sat, 30 Oct 1976",TO, , v AUS,34-6,6:0,5-0,"Parc des Princes, Paris", 
"Sun, 14 Nov 1976", ,[ v FRA,15-12,3:1,4-1,Bucharest, 
"Sat, 15 Jan 1977","5N,CA", , v SCO,26-6,4:0,5-0,"Twickenham, London", 
"Sat, 15 Jan 1977",5N, , v IRE,25-9,3:0,4-0,Cardiff Arms Park, 
"Sat, 05 Feb 1977",5N, ,IRE v ,0-4,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 05 Feb 1977",5N, , v WAL,16-9,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 19 Feb 1977",5N, , v IRE,21-18,3:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 19 Feb 1977",5N, ,ENG v ,3-4,0:1,1-4,"Twickenham, London", 
"Sat, 05 Mar 1977",5N, , v ENG,14-9,2:0,4-1,Cardiff Arms Park, 
"Sat, 05 Mar 1977",5N, , v SCO,23-3,4:0,5-0,"Parc des Princes, Paris", 
"Sat, 19 Mar 1977",5N, ,IRE v ,6-15,0:1,0-4,"Lansdowne Rd, Dublin", 
"Sat, 19 Mar 1977",5N, ,SCO v ,9-18,1:2,0-4,"Murrayfield, Edinburgh", 
"Sat, 18 Jun 1977",LT,1 , v LIO,16-12,3:0,4-1,"Athletic Park, Wellington", 
"Sat, 25 Jun 1977",ST, ,ARG v ,3-26,0:2,0-4,"FC Oeste, Buenos Aires", 
"Sat, 02 Jul 1977",ST, ,ARG v FRA,18-18,0:0,2-2,"FC Oeste, Buenos Aires", 
"Sat, 09 Jul 1977",LT,2 ,NZL v ,9-13,0:1,1-4,"Lancaster Park, Christchurch", 
"Sat, 30 Jul 1977",LT,3 , v LIO,19-7,2:1,4-0,"Carisbrook, Dunedin", 
"Sat, 13 Aug 1977",LT,4 , v LIO,10-9,1:1,4-1,"Eden Park, Auckland", 
"Sat, 27 Aug 1977", ,[ v WOR,45-24,6:4,5-1,"Loftus Versfeld, Pretoria", 
"Fri, 11 Nov 1977",AI, , v NZL,18-13,1:1,4-1,Stade Toulouse, 
"Sat, 19 Nov 1977",AI, ,FRA v ,3-15,0:1,0-4,"Parc des Princes, Paris", 
"Sat, 10 Dec 1977",AI, , v ROM,9-6,0:0,4-1,Clermont Ferrand, 
"Sat, 21 Jan 1978",5N, , v SCO,12-9,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 21 Jan 1978",5N, , v ENG,15-6,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 04 Feb 1978",5N, ,SCO v ,16-19,2:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 04 Feb 1978",5N, ,ENG v ,6-9,0:0,1-4,"Twickenham, London", 
"Sat, 18 Feb 1978",5N, , v SCO,22-14,4:2,5-0,Cardiff Arms Park, 
"Sat, 18 Feb 1978",5N, , v IRE,10-9,1:0,4-1,"Parc des Princes, Paris", 
"Sat, 04 Mar 1978","5N,CA", ,SCO v ,0-15,0:2,0-4,"Murrayfield, Edinburgh", 
"Sat, 04 Mar 1978",5N, ,IRE v ,16-20,1:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 18 Mar 1978",5N, , v FRA,16-7,2:1,4-0,Cardiff Arms Park, 
"Sat, 18 Mar 1978",5N, , v IRE,15-9,2:0,4-1,"Twickenham, London", 
"Sun, 11 Jun 1978",ST, , v WAL,18-8,1:2,4-0,"Ballymore, Brisbane", 
"Sat, 17 Jun 1978",ST, , v WAL,19-17,1:2,4-1,"Cricket Ground, Sydney", 
"Sat, 19 Aug 1978",BC,n , v AUS,13-12,1:1,4-1,"Athletic Park, Wellington", 
"Sat, 26 Aug 1978",BC,n , v AUS,22-6,3:0,4-0,"Lancaster Park, Christchurch", 
"Sat, 09 Sep 1978",BC,n ,NZL v ,16-30,2:5,0-5,"Eden Park, Auckland", 
"Tue, 24 Oct 1978",AI, , v ARG,19-6,2:0,4-0,Rovigo, 
"Sat, 04 Nov 1978","AI,GS",1 ,IRE v ,6-10,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 11 Nov 1978","AI,GS",2 ,WAL v ,12-13,0:1,1-4,Cardiff Arms Park, 
"Sat, 25 Nov 1978","AI,GS",3 ,ENG v ,6-16,0:2,0-4,"Twickenham, London", 
"Sun, 03 Dec 1978", ,R['FRA'],6-9,0:0,1-4,Bucharest, 
"Sat, 09 Dec 1978","AI,GS",4 ,SCO v ,9-18,1:2,0-4,"Murrayfield, Edinburgh", 
"Sat, 20 Jan 1979",5N, ,IRE v FRA,9-9,0:1,2-2,"Lansdowne Rd, Dublin", 
"Sat, 20 Jan 1979",5N, ,SCO v ,13-19,1:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 03 Feb 1979","5N,CA", ,ENG v SCO,7-7,1:1,2-2,"Twickenham, London", 
"Sat, 03 Feb 1979",5N, , v IRE,24-21,2:2,4-1,Cardiff Arms Park, 
"Sat, 17 Feb 1979",5N, , v ENG,12-7,1:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 17 Feb 1979",5N, , v WAL,14-13,2:1,4-1,"Parc des Princes, Paris", 
"Sat, 03 Mar 1979",5N, ,SCO v IRE,11-11,2:2,2-2,"Murrayfield, Edinburgh", 
"Sat, 03 Mar 1979",5N, , v FRA,7-6,1:1,4-1,"Twickenham, London", 
"Sat, 17 Mar 1979",5N, , v ENG,27-3,5:0,5-0,Cardiff Arms Park, 
"Sat, 17 Mar 1979",5N, , v SCO,21-17,3:3,4-1,"Parc des Princes, Paris", 
"Sun, 03 Jun 1979",ST, ,AUS v ,12-27,1:2,0-4,"Ballymore, Brisbane", 
"Sat, 16 Jun 1979",ST, ,AUS v ,3-9,0:0,1-4,"Cricket Ground, Sydney", 
"Sat, 07 Jul 1979",ST, , v FRA,23-9,3:1,4-0,"Lancaster Park, Christchurch", 
"Sat, 14 Jul 1979",ST, ,NZL v ,19-24,2:4,1-5,"Eden Park, Auckland", 
"Sat, 28 Jul 1979",BC,a , v NZL,12-6,0:0,4-1,"Cricket Ground, Sydney", 
"Sat, 27 Oct 1979",TO, , v AUS,24-13,2:1,4-0,"FC Oeste, Buenos Aires", 
"Sat, 03 Nov 1979",TO, ,ARG v ,12-17,1:3,1-4,"FC Oeste, Buenos Aires", 
"Sat, 10 Nov 1979",AI, ,SCO v ,6-20,0:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 24 Nov 1979",AI, ,ENG v ,9-10,0:1,1-4,"Twickenham, London", 
"Sun, 02 Dec 1979",AI, , v ROM,30-12,3:0,4-0,"Stade de Sapiac, Montauban", 
"Sat, 19 Jan 1980",5N, , v FRA,18-9,4:1,5-0,Cardiff Arms Park, 
"Sat, 19 Jan 1980",5N, , v IRE,24-9,3:0,4-0,"Twickenham, London", 
"Sat, 02 Feb 1980",5N, , v SCO,22-15,2:2,4-0,"Lansdowne Rd, Dublin", 
"Sat, 02 Feb 1980",5N, ,FRA v ,13-17,2:2,1-4,"Parc des Princes, Paris", 
"Sat, 16 Feb 1980",5N, , v FRA,22-14,3:2,4-0,"Murrayfield, Edinburgh", 
"Sat, 16 Feb 1980",5N, , v WAL,9-8,0:2,4-1,"Twickenham, London", 
"Sat, 01 Mar 1980",5N, , v SCO,17-6,3:1,4-0,Cardiff Arms Park, 
"Sat, 01 Mar 1980",5N, , v IRE,19-18,2:1,4-1,"Parc des Princes, Paris", 
"Sat, 15 Mar 1980","5N,CA", ,SCO v ,18-30,2:5,0-5,"Murrayfield, Edinburgh", 
"Sat, 15 Mar 1980",5N, , v WAL,21-7,3:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 26 Apr 1980",TO,1 , v JAG,24-9,3:1,4-0,"Wanderers, Johannesburg", 
"Sat, 03 May 1980",TO,2 , v JAG,18-9,1:0,4-0,"Kings Park Stadium, Durban", 
"Sat, 24 May 1980",TO, ,FIJ v ,9-22,0:2,0-4,"National Stadium, Suva", 
"Sat, 31 May 1980",LT,1 , v LIO,26-22,5:1,5-1,"Newlands, Cape Town", 
"Sat, 14 Jun 1980",LT,2 , v LIO,26-19,4:2,5-0,"Vodacom Park, Bloemfontein", 
"Sat, 21 Jun 1980",BC,a , v NZL,13-9,2:0,4-1,"Cricket Ground, Sydney", 
"Sat, 28 Jun 1980",LT,3 , v LIO,12-10,1:1,4-1,"Boet Erasmus, Pt Elizabeth", 
"Sat, 28 Jun 1980",BC,a ,AUS v ,9-12,1:1,1-4,"Ballymore, Brisbane", 
"Sat, 12 Jul 1980",LT,4 ,SAF v ,13-17,1:3,1-4,"Loftus Versfeld, Pretoria", 
"Sat, 12 Jul 1980",BC,a , v NZL,26-10,4:1,5-0,"Cricket Ground, Sydney", 
"Sat, 18 Oct 1980",TO,1 ,JAG v ,13-22,2:3,0-4,Montevideo, 
"Sat, 25 Oct 1980",TO,2 ,JAG v ,16-30,2:6,0-5,Santiago, 
"Sat, 01 Nov 1980",TO, , v FIJ,34-22,6:4,5-1,"FC Oeste, Buenos Aires", 
"Sat, 01 Nov 1980",AI, ,WAL v ,3-23,0:4,0-5,Cardiff Arms Park, 
"Sat, 08 Nov 1980",TO, , v FIJ,38-16,6:2,5-0,"FC Oeste, Buenos Aires", 
"Sat, 08 Nov 1980",TO, , v FRA,37-15,5:1,5-0,"Loftus Versfeld, Pretoria", 
"Sun, 23 Nov 1980", ,[ v FRA,15-0,1:0,4-0,Bucharest, 
"Sat, 17 Jan 1981",5N, , v ENG,21-19,1:1,4-1,Cardiff Arms Park, 
"Sat, 17 Jan 1981",5N, , v SCO,16-9,2:1,4-0,"Parc des Princes, Paris", 
"Sat, 07 Feb 1981",5N, ,IRE v ,13-19,1:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 07 Feb 1981",5N, , v WAL,15-6,2:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 21 Feb 1981","5N,CA", , v SCO,23-17,3:3,4-1,"Twickenham, London", 
"Sat, 21 Feb 1981",5N, , v IRE,9-8,0:2,4-1,Cardiff Arms Park, 
"Sat, 07 Mar 1981",5N, ,IRE v ,6-10,0:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 07 Mar 1981",5N, , v WAL,19-15,1:1,4-1,"Parc des Princes, Paris", 
"Sat, 21 Mar 1981",5N, , v IRE,10-9,1:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 21 Mar 1981",5N, ,ENG v ,12-16,0:2,1-4,"Twickenham, London", 
"Sat, 30 May 1981",ST, ,ARG v ENG,19-19,2:3,2-2,"FC Oeste, Buenos Aires", 
"Sat, 30 May 1981",ST, , v IRE,23-15,3:2,4-0,"Newlands, Cape Town", 
"Sat, 06 Jun 1981",ST, ,ARG v ,6-12,1:1,1-4,"FC Oeste, Buenos Aires", 
"Sat, 06 Jun 1981",ST, , v IRE,12-10,0:1,4-1,"Kings Park Stadium, Durban", 
"Sat, 13 Jun 1981",ST,1 , v SCO,11-4,2:1,4-0,"Carisbrook, Dunedin", 
"Sat, 20 Jun 1981",ST,2 , v SCO,40-15,7:1,5-0,"Eden Park, Auckland", 
"Sun, 05 Jul 1981",ST, , v FRA,17-15,3:1,4-1,"Ballymore, Brisbane", 
"Sat, 11 Jul 1981",ST, , v FRA,24-14,2:2,4-0,"Cricket Ground, Sydney", 
"Sat, 15 Aug 1981",TO,1 , v SAF,14-9,3:1,4-1,"Lancaster Park, Christchurch", 
"Sat, 29 Aug 1981",TO,2 ,NZL v ,12-24,0:1,0-4,"Athletic Park, Wellington", 
"Sat, 12 Sep 1981",TO,3 , v SAF,25-22,2:3,4-1,"Eden Park, Auckland", 
"Sun, 20 Sep 1981", ,U['SAF'],7-38,1:8,0-5,"Glenville, New York", 
"Sat, 26 Sep 1981", ,[ v ROM,12-6,0:0,4-1,"Murrayfield, Edinburgh", 
"Sat, 24 Oct 1981",AI, ,ROM v ,6-14,0:2,0-4,Bucharest, 
"Sun, 01 Nov 1981",AI, , v ROM,17-9,2:0,4-0,"De L'Egassiairal, Narbonne", 
"Sat, 14 Nov 1981",AI, ,FRA v ,9-13,0:1,1-4,Stade Toulouse, 
"Sat, 21 Nov 1981",AI, ,IRE v ,12-16,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 21 Nov 1981",AI, ,FRA v ,6-18,0:2,0-4,"Parc des Princes, Paris", 
"Sat, 05 Dec 1981",AI, , v AUS,18-13,1:2,4-1,Cardiff Arms Park, 
"Sat, 19 Dec 1981",AI, , v AUS,24-15,2:2,4-0,"Murrayfield, Edinburgh", 
"Sat, 02 Jan 1982",AI, , v AUS,15-11,1:2,4-1,"Twickenham, London", 
"Sat, 16 Jan 1982","5N,CA", ,SCO v ENG,9-9,0:0,2-2,"Murrayfield, Edinburgh", 
"Sat, 23 Jan 1982",5N, , v WAL,20-12,3:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 06 Feb 1982",5N, , v FRA,22-12,1:1,4-0,Cardiff Arms Park, 
"Sat, 06 Feb 1982",5N, ,ENG v ,15-16,1:2,1-4,"Twickenham, London", 
"Sat, 20 Feb 1982",5N, , v SCO,21-12,0:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 20 Feb 1982",5N, ,FRA v ,15-27,1:2,0-4,"Parc des Princes, Paris", 
"Sat, 06 Mar 1982",5N, , v FRA,16-7,1:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 06 Mar 1982",5N, , v WAL,17-7,2:1,4-0,"Twickenham, London", 
"Sat, 20 Mar 1982",5N, ,WAL v ,18-34,1:5,0-5,Cardiff Arms Park, 
"Sat, 20 Mar 1982",5N, , v IRE,22-9,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 27 Mar 1982",TO,1 , v JAG,50-18,8:1,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 03 Apr 1982",TO,2 ,SAF v ,12-21,1:1,0-4,"Vodacom Park, Bloemfontein", 
"Sun, 04 Jul 1982",ST,1 ,AUS v ,7-12,1:1,1-4,"Ballymore, Brisbane", 
"Sat, 10 Jul 1982",ST,2 , v SCO,33-9,3:0,4-0,"Cricket Ground, Sydney", 
"Sat, 14 Aug 1982",BC,a , v AUS,23-16,4:2,5-0,"Lancaster Park, Christchurch", 
"Sat, 28 Aug 1982",BC,a ,NZL v ,16-19,2:2,1-4,"Athletic Park, Wellington", 
"Sat, 11 Sep 1982",BC,n , v AUS,33-18,2:1,4-0,"Eden Park, Auckland", 
"Sun, 31 Oct 1982", ,[ v FRA,13-9,1:1,4-1,Bucharest, 
"Sun, 14 Nov 1982",AI, , v ARG,25-12,4:1,5-0,Stade Toulouse, 
"Sat, 20 Nov 1982",AI, , v ARG,13-6,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 15 Jan 1983",5N, ,SCO v ,13-15,1:1,1-4,"Murrayfield, Edinburgh", 
"Sat, 15 Jan 1983",5N, ,ENG v ,15-19,0:3,1-4,"Twickenham, London", 
"Sat, 05 Feb 1983",5N, ,WAL v ENG,13-13,1:1,2-2,Cardiff Arms Park, 
"Sat, 05 Feb 1983",5N, , v SCO,19-15,2:1,4-1,"Parc des Princes, Paris", 
"Sat, 19 Feb 1983",5N, , v FRA,22-16,2:2,4-1,"Lansdowne Rd, Dublin", 
"Sat, 19 Feb 1983",5N, ,SCO v ,15-19,1:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 05 Mar 1983","5N,CA", ,ENG v ,12-22,0:2,0-4,"Twickenham, London", 
"Sat, 05 Mar 1983",5N, , v IRE,23-9,3:0,4-0,Cardiff Arms Park, 
"Sat, 19 Mar 1983",5N, , v ENG,25-15,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 19 Mar 1983",5N, , v WAL,16-9,1:1,4-0,"Parc des Princes, Paris", 
"Sat, 04 Jun 1983",LT,1 , v LIO,16-12,1:0,4-1,"Lancaster Park, Christchurch", 
"Sat, 18 Jun 1983",LT,2 , v LIO,9-0,1:0,4-0,"Athletic Park, Wellington", 
"Sat, 02 Jul 1983",LT,3 , v LIO,15-8,1:2,4-0,"Carisbrook, Dunedin", 
"Sat, 09 Jul 1983",ST, , v USA,49-3,9:0,5-0,"Cricket Ground, Sydney", 
"Sat, 16 Jul 1983",LT,4 , v LIO,38-6,6:0,5-0,"Eden Park, Auckland", 
"Sun, 31 Jul 1983",TO, ,AUS v ,3-18,0:2,0-4,"Ballymore, Brisbane", 
"Sun, 07 Aug 1983",TO, , v ARG,29-13,5:1,5-0,"Cricket Ground, Sydney", 
"Sat, 20 Aug 1983",BC,n ,AUS v ,8-18,2:1,0-4,"Cricket Ground, Sydney", 
"Sat, 22 Oct 1983",AI, ,ITA v ,7-29,1:5,0-5,Rovigo, 
"Sat, 12 Nov 1983",AI, ,SCO v NZL,25-25,1:3,2-2,"Murrayfield, Edinburgh", 
"Sat, 12 Nov 1983",AI, , v WAL,24-6,4:0,5-0,Bucharest, 
"Sun, 13 Nov 1983",AI, ,FRA v AUS,15-15,0:1,2-2,Clermont Ferrand, 
"Sat, 19 Nov 1983",AI, , v NZL,15-9,1:1,4-1,"Twickenham, London", 
"Sat, 19 Nov 1983",AI, , v AUS,15-6,1:0,4-0,"Parc des Princes, Paris", 
"Sun, 04 Dec 1983",AI, , v ROM,26-15,4:1,5-0,"Ernest Wallon, Toulouse", 
"Sat, 21 Jan 1984",5N, ,WAL v ,9-15,1:2,1-4,Cardiff Arms Park, 
"Sat, 21 Jan 1984",5N, , v IRE,25-12,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 04 Feb 1984","5N,CA", , v ENG,18-6,2:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 04 Feb 1984",5N, ,IRE v ,9-18,0:1,0-4,"Lansdowne Rd, Dublin", 
"Sat, 18 Feb 1984",5N, ,WAL v ,16-21,2:1,1-4,Cardiff Arms Park, 
"Sat, 18 Feb 1984",5N, , v IRE,12-9,0:0,4-1,"Twickenham, London", 
"Sat, 03 Mar 1984",5N, ,IRE v ,9-32,1:5,0-5,"Lansdowne Rd, Dublin", 
"Sat, 03 Mar 1984",5N, , v ENG,32-18,5:2,5-0,"Parc des Princes, Paris", 
"Sat, 17 Mar 1984",5N, , v FRA,21-12,1:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 17 Mar 1984",5N, ,ENG v ,15-24,0:1,0-4,"Twickenham, London", 
"Sat, 12 May 1984", ,[ v SCO,28-22,3:2,4-1,Bucharest, 
"Sat, 02 Jun 1984",ST, , v ENG,33-15,3:0,4-0,"Boet Erasmus, Pt Elizabeth", 
"Sat, 09 Jun 1984",TO, ,FIJ v ,3-16,0:1,0-4,"National Stadium, Suva", 
"Sat, 09 Jun 1984",ST, , v ENG,35-9,6:0,5-0,"Ellis Park, Johannesburg", 
"Sat, 16 Jun 1984",ST, , v FRA,10-9,1:1,4-1,"Lancaster Park, Christchurch", 
"Sat, 23 Jun 1984",ST, , v FRA,31-18,3:3,4-0,"Eden Park, Auckland", 
"Sat, 21 Jul 1984",BC,n , v NZL,16-9,2:0,4-0,"Cricket Ground, Sydney", 
"Sat, 04 Aug 1984",BC,n ,AUS v ,15-19,1:1,1-4,"Ballymore, Brisbane", 
"Sat, 18 Aug 1984",BC,n ,AUS v ,24-25,1:2,1-4,"Cricket Ground, Sydney", 
"Sat, 20 Oct 1984",TO,1 , v JAG,32-15,5:2,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 27 Oct 1984",TO,2 , v JAG,22-13,4:1,5-0,"Newlands, Cape Town", 
"Sat, 03 Nov 1984","AI,GS",1 ,ENG v ,3-19,0:3,0-4,"Twickenham, London", 
"Sat, 10 Nov 1984","AI,GS",2 ,IRE v ,9-16,0:1,0-4,"Lansdowne Rd, Dublin", 
"Sat, 10 Nov 1984", ,R['FRA'],3-18,0:2,0-4,Bucharest, 
"Sat, 24 Nov 1984","AI,GS",3 ,WAL v ,9-28,1:4,0-5,Cardiff Arms Park, 
"Sat, 08 Dec 1984","AI,GS",4 ,SCO v ,12-37,0:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 05 Jan 1985", ,[ v ROM,22-15,1:0,4-0,"Twickenham, London", 
"Sat, 02 Feb 1985",5N, ,SCO v ,15-18,0:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 02 Feb 1985",5N, ,ENG v FRA,9-9,0:0,2-2,"Twickenham, London", 
"Sat, 16 Feb 1985",5N, , v SCO,11-3,2:0,4-0,"Parc des Princes, Paris", 
"Sun, 17 Feb 1985", ,I['FRA'],9-22,0:3,0-4,Treviso, 
"Sat, 02 Mar 1985",5N, ,IRE v FRA,15-15,0:2,2-2,"Lansdowne Rd, Dublin", 
"Sat, 02 Mar 1985",5N, ,SCO v ,21-25,2:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 16 Mar 1985","5N,CA", , v SCO,10-7,1:1,4-1,"Twickenham, London", 
"Sat, 16 Mar 1985",5N, ,WAL v ,9-21,1:2,0-4,Cardiff Arms Park, 
"Sat, 30 Mar 1985",5N, , v ENG,13-10,1:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 30 Mar 1985",5N, , v WAL,14-3,2:0,4-0,"Parc des Princes, Paris", 
"Sat, 20 Apr 1985",5N, , v ENG,24-15,2:1,4-0,Cardiff Arms Park, 
"Sat, 01 Jun 1985",ST,1 , v ENG,18-13,0:2,4-1,"Lancaster Park, Christchurch", 
"Sat, 08 Jun 1985",ST,2 , v ENG,42-15,6:2,5-0,"Athletic Park, Wellington", 
"Sat, 15 Jun 1985",ST, , v CAN,59-3,9:0,5-0,"Cricket Ground, Sydney", 
"Sat, 22 Jun 1985",ST, , v FRA,24-16,2:2,4-0,"FC Oeste, Buenos Aires", 
"Sun, 23 Jun 1985",ST, , v CAN,43-15,7:1,5-0,"Ballymore, Brisbane", 
"Sat, 29 Jun 1985",ST, ,ARG v ,15-23,1:4,0-5,"FC Oeste, Buenos Aires", 
"Sat, 29 Jun 1985",BC,n , v AUS,10-9,1:1,4-1,"Eden Park, Auckland", 
"Sat, 10 Aug 1985",TO, , v FIJ,52-28,7:4,5-1,"Ballymore, Brisbane", 
"Sat, 17 Aug 1985",TO, , v FIJ,31-9,5:0,5-0,"Cricket Ground, Sydney", 
"Sat, 26 Oct 1985",TO, ,ARG v ,20-33,2:4,0-5,"FC Oeste, Buenos Aires", 
"Sat, 02 Nov 1985",TO, ,ARG v NZL,21-21,0:4,3-2,"FC Oeste, Buenos Aires", 
"Sat, 09 Nov 1985",AI, , v FIJ,40-3,7:0,5-0,Cardiff Arms Park, 
"Sat, 18 Jan 1986",5N, , v FRA,18-17,0:2,4-1,"Murrayfield, Edinburgh", 
"Sat, 18 Jan 1986",5N, , v WAL,21-18,0:1,4-1,"Twickenham, London", 
"Sat, 01 Feb 1986",5N, , v SCO,22-15,1:3,4-0,Cardiff Arms Park, 
"Sat, 01 Feb 1986",5N, , v IRE,29-9,3:0,4-0,"Parc des Princes, Paris", 
"Sat, 15 Feb 1986","5N,CA", , v ENG,33-6,3:0,4-0,"Murrayfield, Edinburgh", 
"Sat, 15 Feb 1986",5N, ,IRE v ,12-19,1:2,0-4,"Lansdowne Rd, Dublin", 
"Sat, 01 Mar 1986",5N, ,WAL v ,15-23,0:4,0-5,Cardiff Arms Park, 
"Sat, 01 Mar 1986",5N, , v IRE,25-20,4:3,4-1,"Twickenham, London", 
"Sat, 15 Mar 1986",5N, ,IRE v ,9-10,1:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 15 Mar 1986",5N, , v ENG,29-10,3:1,4-0,"Parc des Princes, Paris", 
"Sat, 29 Mar 1986", ,R['SCO'],18-33,0:3,0-4,Bucharest, 
"Sat, 12 Apr 1986", ,[ v ROM,25-13,5:2,5-0,Lille, 
"Sat, 10 May 1986",TO,1 , v CAV,21-15,1:1,4-1,"Newlands, Cape Town", 
"Sat, 17 May 1986",TO,2 ,SAF v ,18-19,1:2,1-4,"Kings Park Stadium, Durban", 
"Sat, 24 May 1986",TO,3 , v CAV,33-18,4:1,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 31 May 1986",ST, , v FRA,15-13,1:1,4-1,"Velez Sarsfield, Buenos Aires", 
"Sat, 31 May 1986",ST, ,FIJ v ,15-22,2:2,0-4,"National Stadium, Suva", 
"Sat, 31 May 1986",TO,4 , v CAV,24-10,1:1,4-0,"Ellis Park, Johannesburg", 
"Sun, 01 Jun 1986",ST, , v ITA,39-18,6:2,5-0,"Ballymore, Brisbane", 
"Sat, 07 Jun 1986",ST, ,ARG v ,9-22,0:3,0-4,"Velez Sarsfield, Buenos Aires", 
"Thu, 12 Jun 1986",ST, ,TON v ,7-15,1:1,0-4,Nuku A'lofa, 
"Sat, 14 Jun 1986",ST, ,SAM v ,14-32,2:4,0-5,Apia, 
"Sat, 21 Jun 1986",ST, , v FRA,27-14,1:3,4-0,"Cricket Ground, Sydney", 
"Sat, 28 Jun 1986",ST, , v FRA,18-9,1:0,4-0,"Lancaster Park, Christchurch", 
"Sun, 06 Jul 1986",TO, , v ARG,39-19,4:3,5-0,"Ballymore, Brisbane", 
